system_file	kepler_file	num_moons	Planet_period(days)	P_Transits_present/absent	SNR1	SNR2	SNR3	SNR4	SNR5	M_Transits_present/absent1	M_Transits_present/absent2	M_Transits_present/absent3	M_Transits_present/absent4	M_Transits_present/absent5	DW_statistic	Best_offset	Planet_Transit_duration	t0_bary
july13_res_974	dummy_lc.txt	4	239.6415971203286	11111	2.112821232050681	2.0084979889588794	3.3712328767979343	2.7805385059475713	NA	11111	11111	11111	11111	NA	1.990097354037345	62.629520643109245	0.47244898240994665	416.02654507203727
july13_res_424	dummy_lc.txt	4	10.883776633919654	011010110111111110000000001111101100111111011111111000000000111111011111111101110101100000000011111111110111110010	5.485159027831248	7.163527041569504	7.686350526378721	5.664769915298636	NA	011010110111111110000000001111101100111111011111111000000000111111011111111101110101100000000011111111110111110010	011010110111111110000000001111101100111111011111111000000000111111011111111101110101100000000011111111110111110010	011010110111111110000000001111101100111111011111111000000000111111011111111101110101100000000011111111110111110010	011010110111111110000000001111101100111111011111111000000000111111011111111101110101100000000011111111110111110010	NA	1.9884900775816896	0.0	0.1157598563588796	352.8970223759143
july13_res_659	dummy_lc.txt	4	239.6415971203286	11111	4.636423452148979	4.534765383939407	2.304424974751449	6.929581947447226	NA	11111	11111	11111	11111	NA	1.9904758766103863	62.629668372843916	0.434400408035034	416.02615112607816
july13_res_629	dummy_lc.txt	4	329.5910809321878	1111	3.025624537793549	9.097956243582233	7.452802342238321	3.3972434175013966	NA	1111	1111	1111	1110	NA	1.9892773318250134	32.281939824938625	0.4073959918620451	386.17881949023405
july13_res_544	dummy_lc.txt	4	151.27844413526995	111101111	1.6938412550655813	2.081667223798937	2.291428258427296	2.518800297996401	NA	111101111	111101111	111101111	110001111	NA	1.98736196388487	9.9893889028048	0.438490661681862	363.38633584126404
july13_res_74	dummy_lc.txt	4	146.87126206768505	111101111	3.9519839948239124	2.0491389370864375	5.475078470967475	2.0198356876654047	NA	111101111	111101111	111101111	111000111	NA	1.987644911212717	0.0	0.363722259327616	353.3971484569689
july13_res_39	dummy_lc.txt	4	118.1047569137529	11111011011	2.7399460104173055	3.8925759982996606	2.9103646639316065	2.5464229750558585	NA	11111011011	11111011011	11111011011	11111011011	NA	1.9861980426263286	41.49472009869646	0.3921281625816489	394.8918144921612
july13_res_474	dummy_lc.txt	4	29.93480167019385	111111000011111111100011111111100011111111	1.339287805877326	1.1638028124308337	1.2221943824110668	2.041352737097932	NA	111111000011111111100011111111100011111111	111111000011111111100011111111100011111111	111111000011111111100011111111100011111111	111111000011111111100011111111100011111111	NA	1.9908589467199937	7.047668233939809	0.22041605150985058	359.944639899561
july13_res_20	dummy_lc.txt	5	208.06081466418996	111111	7.891627310730194	7.191621519539729	7.134957406120114	7.569779007336627	6.504886375165618	111111	111111	111111	111111	100111	1.9906133316291001	70.02157673398216	0.3372180058432282	423.91836306490825
july13_res_920	dummy_lc.txt	5	384.59688690414606	1111	2.1101113248225762	2.7200326996555377	1.010071202698263	1.7218957727422504	2.329053255944594	1111	1111	1111	1111	1111	1.9900981005095548	0.0	0.5852536985748097	353.8972596695178
july13_res_795	dummy_lc.txt	5	147.53515075466143	111101111	2.149628965825897	1.477645471732418	3.3818670661864125	3.956987672702311	3.5918174039497863	111101111	111101111	111101111	111101111	001101111	1.9858715928999362	0.0	0.6423826985985669	353.3963620802266
july13_res_555	dummy_lc.txt	5	80.05451305827096	1110111011110111	0.7215844627330275	0.6325258081346407	0.9534937386812768	0.7148371140707729	0.8646651218898895	1110111011110111	1110111011110111	1110111011110111	1110111011110111	1110111011110111	1.9901123605949227	16.276467689304543	0.2624489810644166	369.1684054327429
july13_res_645	dummy_lc.txt	5	38.113117486403425	111110001111111001111111100111111	2.2160794667800126	1.2559233175829614	1.157660597070044	2.6259935601058593	0.7361548170082234	111110001111111001111111100111111	111110001111111001111111100111111	111110001111111001111111100111111	111110001111111001111111100111111	111110001111111001111111100111111	1.9874170263039521	4.543539657832988	0.4072620972275498	357.4405085113948
july13_res_265	dummy_lc.txt	5	25.704940022702313	1111111100011111111111000011101111110000111101111	1.6794371759533755	1.9010110306532786	2.3704867270533208	2.025311600256317	1.9038380783341817	1111111100011111111111000011101111110000111101111	1111111100011111111111000011101111110000111101111	1111111100011111111111000011101111110000111101111	1111111100011111111111000011101111110000111101111	1111111100011111111111000011101111110000111101111	1.9959132070560737	0.9518197946897424	0.2920835680104537	353.8487362050113
july13_nores_16	dummy_lc.txt	1	529.220478150576	111	2.587748082601281	NA	NA	NA	NA	111	NA	NA	NA	NA	1.9881113460195312	5.2446524167922	0.8399826410020821	360.14154430494034
july13_nores_991	dummy_lc.txt	1	321.9191400893909	1111	2.1486356338420465	NA	NA	NA	NA	1111	NA	NA	NA	NA	1.9905249409062062	63.013984530123885	0.572815737677453	416.41090419540154
july13_nores_616	dummy_lc.txt	1	334.24822959950444	1111	14.968995505089806	NA	NA	NA	NA	1111	NA	NA	NA	NA	1.989368115185844	16.37617910437172	0.9484412170324326	373.7730654373161
